Asset	DateMin	DateMax	TotalDays	DateDiffDays
FSPLU22   	2021-12-20	2022-09-16	57	270
FSPLU23   	2023-05-19	2023-09-14	48	118
FSPLU24   	2024-03-21	2024-06-17	6	88
FSVEH24   	2023-09-18	2023-12-14	2	87
FSVEU23   	2023-09-05	2023-09-05	1	0
FTENH22   	2021-10-26	2022-03-18	78	143
FTENH23   	2022-06-20	2023-03-17	81	270
FTENH24   	2023-08-08	2024-03-15	73	220
FTENM22   	2021-10-12	2022-06-17	93	248
FTENM23   	2022-09-19	2023-06-16	91	270
FTENM24   	2023-09-28	2024-06-20	44	266
FTENU22   	2022-03-04	2022-09-16	90	196
FTENU23   	2023-04-13	2023-09-15	78	155
FTENU24   	2023-12-18	2024-06-20	33	185
FTENZ24   	2024-04-03	2024-05-31	9	58
FTPEZ21   	2021-03-29	2021-12-17	132	263
FTPEZ22   	2022-03-23	2022-12-16	123	268
FTPEZ23   	2023-03-29	2023-12-15	108	261
FTPEZ24   	2024-05-07	2024-05-07	1	0
FTXTH24   	2023-12-14	2024-03-15	24	92
FTXTM24   	2023-11-23	2024-06-20	41	210
FTXTU24   	2024-01-04	2024-06-20	16	168
FUSDG23   	2022-12-09	2023-02-17	34	70
FUSDH22   	2021-03-22	2022-03-18	233	361
FUSDH23   	2022-03-21	2023-03-17	226	361
FUSDH24   	2023-03-20	2024-03-15	238	361
FUSDH25   	2024-03-18	2024-06-20	62	94
FUSDJ22   	2022-02-04	2022-04-14	34	69
FUSDJ23   	2023-02-02	2023-04-21	41	78
FUSDJ24   	2024-01-30	2024-04-19	51	80
FUSDK22   	2022-02-21	2022-05-13	38	81
FUSDK23   	2023-03-03	2023-05-19	30	77
FUSDK24   	2024-02-21	2024-05-17	46	86
FUSDM22   	2021-06-22	2022-06-17	232	360
FUSDM23   	2022-06-20	2023-06-16	235	361
FUSDM24   	2023-06-19	2024-06-20	237	367
FUSDN22   	2022-05-02	2022-07-12	28	71
FUSDN23   	2023-04-24	2023-07-21	41	88
FUSDN24   	2024-04-22	2024-06-20	23	59
FUSDQ22   	2022-06-22	2022-08-18	28	57
FUSDQ23   	2023-06-01	2023-08-18	42	78
FUSDQ24   	2024-05-22	2024-06-18	16	27
FUSDU22   	2021-09-20	2022-09-16	234	361
FUSDU23   	2022-09-21	2023-09-15	233	359
FUSDU24   	2023-09-18	2024-06-20	173	276
FUSDV22   	2022-07-21	2022-10-21	46	92
FUSDV23   	2023-07-27	2023-10-20	49	85
FUSDZ24   	2023-12-18	2024-06-20	124	185
FW20H2220 	2021-03-22	2022-03-18	246	361
FW20H2320 	2022-03-21	2023-03-17	242	361
FW20H2420 	2023-03-20	2024-03-15	249	361
FW20H2520 	2024-03-18	2024-06-20	64	94
FW20M2220 	2021-06-21	2022-06-17	248	361
FW20M2320 	2022-06-20	2023-06-16	242	361
FW20M2420 	2023-06-19	2024-06-20	253	367
FW20U2120 	2020-09-21	2021-09-17	250	361
FW20U2220 	2021-09-20	2022-09-16	248	361
FW20U2320 	2022-09-19	2023-09-15	246	361
FW20U2420 	2023-09-18	2024-06-20	190	276
FW20Z2120 	2020-12-21	2021-12-17	245	361
FW20Z2220 	2021-12-20	2022-12-16	243	361
FW20Z2320 	2022-12-19	2023-12-15	250	361
