Asset	DateMin	DateMax	TotalDays	DateDiffDays
BACT      	2024-04-16	2024-06-21	46	66
BALTICON  	2011-01-27	2024-06-21	2535	4894
BBIDEV    	2013-08-13	2024-06-21	2676	3965
BEDZIN    	2003-04-22	2024-06-21	3097	7731
BEEIN     	2022-04-11	2024-06-21	535	802
BELEAF    	2023-08-08	2024-06-21	129	318
BENEFIT   	2011-04-21	2024-06-21	3169	4810
BEST      	2013-04-17	2024-06-21	1370	4083
BETACOM   	2004-03-19	2024-06-21	5026	7399
BIGCHEESE 	2021-12-07	2024-06-21	633	927
BINARY    	2011-12-27	2024-06-21	2253	4560
BIOCELTIX 	2021-11-08	2024-06-21	648	956
BIOGENED  	2011-08-31	2024-06-21	2531	4678
BIOMASS   	2013-04-17	2024-06-21	2589	4083
BIOMAXIMA 	2010-07-21	2024-06-21	3316	5084
BIOPLANET 	2015-04-01	2024-06-21	1470	3369
BIOTON    	2005-03-31	2024-06-21	4795	7022
BKDGAMES  	2021-09-07	2024-06-21	693	1018
BLACKPOIN 	2010-05-14	2024-06-21	3323	5152
BLACKROSE 	2022-06-01	2024-06-21	512	751
BLOOBER   	2011-06-27	2024-06-21	3161	4743
BNPPPL    	2019-04-03	2024-06-21	1302	1906
BOGDANKA  	2009-07-22	2024-06-21	3726	5448
BOOMBIT   	2019-06-10	2024-06-21	1258	1838
BORYSZEW  	2000-11-17	2024-06-21	5859	8617
BOS       	2001-06-01	2024-06-21	5074	8421
BOWIM     	2012-01-25	2024-06-21	2691	4531
BPC       	2010-03-31	2024-06-21	3106	5196
BRAINSCAN 	2024-05-15	2024-06-21	27	37
BRAND24   	2018-01-30	2024-06-21	1573	2334
BRAS      	2016-12-27	2024-06-21	1401	2733
BSH       	2022-12-22	2024-06-21	348	547
BUDIMEX   	2000-11-17	2024-06-21	5899	8617
BUMECH    	2009-02-05	2024-06-21	3816	5615
CANNABIS  	2019-10-28	2024-06-21	1160	1698
CAPITEA   	2023-10-24	2024-06-21	165	241
CAPTORTX  	2021-04-19	2024-06-21	790	1159
CARBONSTU 	2019-12-18	2024-06-21	1108	1647
CARLSON   	2019-08-29	2024-06-21	1191	1758
CASPAR    	2011-12-08	2024-06-21	1011	4579
CAVATINA  	2021-08-11	2024-06-21	685	1045
CCC       	2004-12-02	2024-06-21	4870	7141
CCENERGY  	2011-01-27	2024-06-21	1665	4894
CCS       	2012-12-28	2024-06-21	1762	4193
CDA       	2019-05-08	2024-06-21	1259	1871
CDPROJEKT 	2013-01-04	2024-06-21	2857	4186
CDRL      	2014-12-10	2024-06-21	2369	3481
CELTIC    	2010-12-23	2024-06-21	2319	4929
CEZ       	2006-10-25	2024-06-21	4349	6449
CFG       	2018-05-25	2024-06-21	1516	2219
CFI       	2015-03-06	2024-06-21	2250	3395
CFSA      	2018-06-04	2024-06-21	1107	2209
CHERRY    	2017-11-24	2024-06-21	1628	2401
CIGAMES   	2013-09-25	2024-06-21	2676	3922
CITYSERV  	2015-11-16	2024-06-21	1576	3140
CLNPHARMA 	2016-12-01	2024-06-21	1882	2759
CLOUD     	2012-05-18	2024-06-21	2526	4417
CMI       	2019-04-24	2024-06-21	774	1885
COALENERG 	2011-08-04	2024-06-21	3059	4705
COGNOR    	2009-05-11	2024-06-21	3771	5520
COLUMBUS  	2014-05-06	2024-06-21	2487	3699
COMARCH   	2000-11-17	2024-06-21	5897	8617
COMP      	2005-01-14	2024-06-21	4696	7098
COMPERIA  	2011-12-05	2024-06-21	1987	4582
COMPREMUM 	2022-01-24	2024-06-21	602	879
CONSOLEW  	2024-01-19	2024-06-21	95	154
CORMAY    	2008-11-07	2024-06-21	3878	5705
COSMA     	2022-02-16	2024-06-21	548	856
CREEPYJAR 	2018-08-06	2024-06-21	1465	2146
CREOTECH  	2021-10-12	2024-06-21	671	983
CYBERFLKS 	2023-08-03	2024-06-21	222	323
CYFRPLSAT 	2008-05-06	2024-06-21	4030	5890
DADELO    	2021-03-12	2024-06-21	819	1197
DATAWALK  	2018-09-04	2024-06-21	1446	2117
DBENERGY  	2019-07-10	2024-06-21	1209	1808
DDISTANCE 	2019-09-09	2024-06-21	1177	1747
DEBICA    	2000-11-17	2024-06-21	5780	8617
DECORA    	2005-06-21	2024-06-21	4712	6940
DEKPOL    	2015-02-06	2024-06-21	1969	3423
DEKTRA    	2011-06-14	2024-06-21	2660	4756
DELKO     	2009-12-15	2024-06-21	3395	5302
DEMGAMES  	2023-09-08	2024-06-21	167	287
DETGAMES  	2020-12-29	2024-06-21	754	1270
DEVELIA   	2019-09-10	2024-06-21	1194	1746
DEVORAN   	2013-12-27	2024-06-21	2071	3829
DGA       	2004-04-20	2024-06-21	4958	7367
DGNET     	2021-05-10	2024-06-21	464	1138
DIGITANET 	2022-05-02	2024-06-21	533	781
DINOPL    	2017-04-19	2024-06-21	1787	2620
DITIX     	2020-10-13	2024-06-21	912	1347
DMGROUP   	2024-03-11	2024-06-21	70	102
DOMDEV    	2006-10-24	2024-06-21	4408	6450
DRAGOENT  	2021-04-28	2024-06-21	788	1150
DROZAPOL  	2004-12-23	2024-06-21	4747	7120
DUALITY   	2020-09-24	2024-06-21	931	1366
EASYCALL  	2011-04-11	2024-06-21	1937	4820
ECCGAMES  	2019-02-14	2024-06-21	1331	1954
ECHO      	2000-11-17	2024-06-21	5877	8617
ECNOLOGY  	2024-02-21	2024-06-21	83	121
ECO5TECH  	2022-01-14	2024-06-21	590	889
EDINVEST  	2010-12-20	2024-06-21	2871	4932
EFEKT     	2001-07-30	2024-06-21	5291	8362
EKIOSK    	2010-06-09	2024-06-21	2856	5126
EKIPA     	2022-05-31	2024-06-21	514	752
EKOBOX    	2011-10-13	2024-06-21	2141	4635
EKOPOL    	2008-11-14	2024-06-21	3149	5698
ELEKTROTI 	2007-05-22	2024-06-21	4206	6240
ELKOP     	2001-03-07	2024-06-21	4451	8507
EMCINSMED 	2005-08-17	2024-06-21	4362	6883
EMPLOCITY 	2022-10-20	2024-06-21	412	610
ENEA      	2009-01-30	2024-06-21	3845	5621
ENELMED   	2011-07-18	2024-06-21	2588	4722
ENERGA    	2013-12-11	2024-06-21	2623	3845
ENERGOINS 	2007-10-30	2024-06-21	4022	6079
ENTER     	2016-01-18	2024-06-21	2102	3077
ERATONRG  	2021-08-18	2024-06-21	414	1038
ERBUD     	2007-06-19	2024-06-21	4219	6212
ESHOPPING 	2023-04-05	2024-06-21	303	443
ESOTIQ    	2011-06-16	2024-06-21	3115	4754
ETFBCASH  	2024-01-03	2024-06-21	118	170
ETFBM40TR 	2021-06-28	2024-06-21	747	1089
ETFBNDXPL 	2021-06-29	2024-06-21	746	1088
ETFBS80TR 	2021-12-14	2024-06-21	628	920
